Datetime,MAE,P_Waterlevel,P_Waterlevel.1,P_Waterlevel.2,P_Waterlevel.3,T_Waterlevel,T_Waterlevel.1,T_Waterlevel.2,T_Waterlevel.3
2021-03-01,0.3265588169625022,15.68645787073964,12.199490169790733,12.330020202217938,21.184507183476267,16.207083333333333,12.504583333333333,12.504583333333333,21.941333333333333
2021-03-02,0.3226357739728559,15.686824315152212,12.198634011393366,12.329316664944606,21.183689143013574,16.207416666666667,12.501499999999998,12.501499999999998,21.944666666666667
2021-03-03,0.3069709026698252,15.687165818338402,12.198035725588298,12.328793707370028,21.18308827550271,16.20775,12.489583333333334,12.489583333333334,21.94816666666667
2021-03-04,0.29180557681384056,15.687307014836598,12.196507124622132,12.327389834570347,21.18160346547236,16.208083333333335,12.478166666666665,12.478166666666665,21.951833333333333
2021-03-05,0.27746135644883413,15.6872240856735,12.189301596760435,12.318272438718118,21.174814587013362,16.208333333333332,12.466833333333334,12.466833333333334,21.954583333333336
2021-03-06,0.2641277275925532,15.68758191004657,12.18871927349008,12.317962898531688,21.174207605847208,16.15683333333333,12.395166666666666,12.395166666666666,21.900500000000005
2021-03-07,0.2553142643158097,15.688005330449368,12.187567418621477,12.31697326720942,21.173048675858183,16.11541666666667,12.34975,12.34975,21.861333333333334
2021-03-08,0.2500144466479548,15.688514083666444,12.184337032200734,12.3136371797797,21.16989414932484,16.039416666666668,12.308,12.308,21.843166666666665
2021-03-09,0.247137114703428,15.689025331404858,12.180018973416004,12.309046943323636,21.165677201776116,15.963416666666667,12.288,12.288,21.84241666666667
2021-03-10,0.24574170162523934,15.689473705702092,12.174393610294711,12.302840855880332,21.160190409383663,15.887416666666669,12.27075,12.27075,21.842083333333335
2021-03-11,0.24581839830732294,15.689777327843005,12.168426760543339,12.296072446339606,21.154342482519258,15.830333333333334,12.253333333333332,12.253333333333332,21.841749999999998
2021-03-12,0.2463495829428008,15.689801772681552,12.16669539169759,12.2943480362247,21.152551319018993,15.811000000000002,12.238750000000001,12.238750000000001,21.841333333333335
2021-03-13,0.24676691626152186,15.689792884328268,12.162226834039629,12.288892585917226,21.148138803826967,15.810666666666668,12.224666666666668,12.224666666666668,21.840666666666664
2021-03-14,0.24710255318438665,15.689989079424146,12.157966782069646,12.28390083944349,21.14394849355948,15.810250000000002,12.210666666666667,12.210666666666667,21.84
2021-03-15,0.24744628101917218,15.690022246591278,12.15687431725017,12.28262715640692,21.142858780770492,15.810166666666667,12.197666666666667,12.197666666666667,21.839333333333336
2021-03-16,0.2479328731737984,15.68985375897755,12.156655619970604,12.282269950994218,21.142651380430294,15.81016666666667,12.185583333333335,12.185583333333335,21.83875
2021-03-17,0.24837654446358853,15.68954431835957,12.157113492986282,12.282120356129246,21.143109870023924,15.81016666666667,12.175083333333333,12.175083333333333,21.838583333333336
2021-03-18,0.24894431366126876,15.689153926743863,12.157302983574137,12.281992070139617,21.14334366664447,15.810166666666667,12.165583333333332,12.165583333333332,21.8385
2021-03-19,0.2495595799240525,15.688958308681341,12.15851205389389,12.283186562622538,21.144523635758837,15.810166666666667,12.157,12.157,21.8385
2021-03-20,0.25033742592684305,15.688733738331013,12.16037296317605,12.285312982747044,21.146349825465492,15.810166666666667,12.148416666666666,12.148416666666666,21.8385
2021-03-21,0.2510662805580829,15.688309340910424,12.156373414335693,12.280055888942215,21.14241903538441,15.810166666666667,12.140416666666665,12.140416666666665,21.838500000000003
2021-03-22,0.2517329483815448,15.68782493894337,12.152506571818092,12.27463254515972,21.138663381740347,15.81016666666667,12.1335,12.1335,21.838500000000003
2021-03-23,0.2522173975445775,15.687960124294438,12.15361760600864,12.276254653669717,21.139591581639266,15.81016666666667,12.127,12.127,21.838500000000003
2021-03-24,0.2525414036053275,15.688023018170927,12.153956095301437,12.276860817702447,21.139770936672566,15.81016666666667,12.121666666666666,12.121666666666666,21.83833333333333
2021-03-25,0.2527415997888545,15.687917816437984,12.153323305796443,12.276082696803067,21.13906594537368,15.81016666666667,12.116916666666667,12.116916666666667,21.837833333333332
2021-03-26,0.252777791892129,15.688043567410991,12.14797782690398,12.269466822503393,21.133720980176495,15.810166666666667,12.112083333333334,12.112083333333334,21.8375
2021-03-27,0.2526989069785426,15.688706477821734,12.142810507096106,12.263509209710122,21.128570218585903,15.810166666666667,12.106916666666667,12.106916666666667,21.83716666666667
2021-03-28,0.252428945183422,15.68948445531232,12.135733649309218,12.255454773032088,21.12154480039817,15.810166666666667,12.1025,12.1025,21.836833333333335
2021-03-29,0.25212050819980747,15.69004533969782,12.1260472122895,12.244015441580338,21.111800952132366,15.81016666666667,12.0985,12.0985,21.836499999999997
2021-03-30,0.25191892812942446,15.690425506510058,12.117491729127085,12.233669761359069,21.103053274574425,15.81016666666667,12.09375,12.09375,21.836166666666664
2021-03-31,0.2519452599135081,15.690604869112029,12.11036201382206,12.224993545045116,21.095702160823812,15.81016666666667,12.090916666666667,12.090916666666667,21.835833333333333
2021-04-01,0.25206865421319696,15.69161939365678,12.104560811276823,12.218654092766823,21.089747778828528,15.81016666666667,12.088666666666667,12.088666666666667,21.8355
2021-04-02,0.2521982017800139,15.691545158250422,12.101482553827454,12.214564989475868,21.0865923430293,15.81016666666667,12.086500000000001,12.086500000000001,21.835166666666666
2021-04-03,0.25244426554382887,15.691397069732076,12.096867678999672,12.208328882619023,21.08186806386272,15.810166666666667,12.084916666666667,12.084916666666667,21.834833333333336
2021-04-04,0.2526905418304633,15.691251922918267,12.093053000407831,12.203077903105548,21.077966608253686,15.810166666666667,12.083583333333333,12.083583333333333,21.8345
2021-04-05,0.2529576588336541,15.69114960807844,12.089917215999174,12.19877769203626,21.074778220906058,15.810166666666667,12.082416666666665,12.082416666666665,21.834166666666665
