Datetime,MAE,P_Waterlevel,P_Waterlevel.1,P_Waterlevel.2,P_Waterlevel.3,T_Waterlevel,T_Waterlevel.1,T_Waterlevel.2,T_Waterlevel.3
2021-05-15,0.23998261510707658,15.928479194641113,12.063774108886719,12.209440231323242,21.272695541381836,15.810000000000002,12.07325,12.07325,21.832166666666673
2021-05-16,0.24217063546710488,15.928359031677246,12.064628601074219,12.209249496459961,21.2727108001709,15.810000000000002,12.073,12.073,21.832083333333337
2021-05-17,0.24461447963008115,15.92867374420166,12.06428050994873,12.209826469421387,21.272472381591797,15.810000000000002,12.072000000000001,12.072000000000001,21.831833333333332
2021-05-18,0.24738804184948898,15.929084777832031,12.06299877166748,12.21036148071289,21.27252769470215,15.810833333333335,12.071,12.071,21.831500000000002
2021-05-19,0.2503580296940268,15.930164337158203,12.06183910369873,12.212104797363281,21.273014068603516,15.811666666666667,12.070166666666667,12.070166666666667,21.831166666666668
2021-05-20,0.25363953972922376,15.927837371826172,12.059955596923828,12.21597957611084,21.26780128479004,15.811666666666667,12.069500000000001,12.069500000000001,21.83083333333333
2021-05-21,0.2570982845906853,15.92845630645752,12.054985046386719,12.219449996948242,21.26219367980957,15.811666666666667,12.068666666666667,12.068666666666667,21.830499999999997
2021-05-22,0.26076899855225116,15.929964065551758,12.052098274230957,12.221944808959961,21.262983322143555,15.811666666666667,12.067666666666668,12.067666666666668,21.830166666666663
2021-05-23,0.2646321526915933,15.930208206176758,12.05079460144043,12.222092628479004,21.263442993164062,15.811666666666667,12.066666666666668,12.066666666666668,21.83
2021-05-24,0.26877511139975596,15.930052757263184,12.051051139831543,12.222184181213379,21.26339340209961,15.811666666666667,12.065666666666665,12.065666666666665,21.83
2021-05-25,0.2730830321947728,15.928799629211426,12.051443099975586,12.221951484680176,21.260997772216797,15.811666666666667,12.064666666666666,12.064666666666666,21.83
2021-05-26,0.2776925890816577,15.928409576416016,12.0513277053833,12.221905708312988,21.260339736938477,15.811666666666667,12.06375,12.06375,21.83
2021-05-27,0.2824068151544637,15.928187370300293,12.052128791809082,12.221719741821289,21.25960350036621,15.811666666666667,12.062916666666668,12.062916666666668,21.83
2021-05-28,0.287271609864411,15.926392555236816,12.05482006072998,12.219381332397461,21.25745391845703,15.811666666666667,12.062250000000002,12.062250000000002,21.83
2021-05-29,0.2921807250658667,15.923924446105957,12.059678077697754,12.214932441711426,21.2565860748291,15.811666666666667,12.061583333333333,12.061583333333333,21.83
2021-05-30,0.29724310909553775,15.921211242675781,12.06518840789795,12.208868026733398,21.25525665283203,15.811666666666667,12.060916666666666,12.060916666666666,21.83
2021-05-31,0.3024287107291041,15.919478416442871,12.073735237121582,12.203789710998535,21.261829376220703,15.811666666666667,12.06025,12.06025,21.83
2021-06-01,0.3077557204882301,15.918466567993164,12.07779598236084,12.198724746704102,21.262081146240234,15.811666666666667,12.059583333333334,12.059583333333334,21.83
2021-06-02,0.3130499637865134,15.917118072509766,12.079896926879883,12.196950912475586,21.262542724609375,15.811666666666667,12.058833333333334,12.058833333333334,21.83
2021-06-03,0.31834305361288534,15.916329383850098,12.08212947845459,12.195900917053223,21.262733459472656,15.811666666666667,12.057916666666667,12.057916666666667,21.83
2021-06-04,0.3234392826949223,15.915660858154297,12.083769798278809,12.195107460021973,21.262834548950195,15.811666666666667,12.056916666666668,12.056916666666668,21.83
2021-06-05,0.3282379045387548,15.91514778137207,12.084420204162598,12.194485664367676,21.262962341308594,15.811666666666667,12.055916666666668,12.055916666666668,21.83
2021-06-06,0.3327469642808699,15.914963722229004,12.085441589355469,12.194190979003906,21.26337432861328,15.811666666666667,12.054916666666665,12.054916666666665,21.83
2021-06-07,0.3369744526170798,15.915011405944824,12.08568286895752,12.194082260131836,21.263647079467773,15.811666666666667,12.053916666666668,12.053916666666668,21.83
2021-06-08,0.34095575035942904,15.914840698242188,12.085702896118164,12.193915367126465,21.26335906982422,15.811666666666667,12.052916666666667,12.052916666666667,21.83
2021-06-09,0.3445521770851698,15.914446830749512,12.085476875305176,12.193622589111328,21.262407302856445,15.811666666666667,12.051916666666667,12.051916666666667,21.83
2021-06-10,0.34773008208168854,15.913753509521484,12.085926055908203,12.193187713623047,21.26111602783203,15.811666666666667,12.050916666666668,12.050916666666668,21.83
2021-06-11,0.35075308536529515,15.914173126220703,12.08568000793457,12.193559646606445,21.261362075805664,15.811666666666667,12.05,12.05,21.83
2021-06-12,0.3534677523980315,15.914107322692871,12.085092544555664,12.193944931030273,21.261192321777344,15.811666666666667,12.049166666666668,12.049166666666668,21.83
