Datetime,MAE,P_Waterlevel,P_Waterlevel.1,P_Waterlevel.2,P_Waterlevel.3,T_Waterlevel,T_Waterlevel.1,T_Waterlevel.2,T_Waterlevel.3
2021-03-31,0.31840794310746334,15.707049369812012,12.046314239501953,12.043305397033691,21.00200843811035,16.20716666666667,12.501499999999998,12.501499999999998,21.942166666666665
2021-04-01,0.3165119668254143,15.706926345825195,12.046246528625488,12.043214797973633,21.002721786499023,16.2075,12.498583333333332,12.498583333333332,21.9455
2021-04-02,0.3089904563056095,15.706744194030762,12.046174049377441,12.043079376220703,21.00279426574707,16.207833333333333,12.486833333333333,12.486833333333333,21.94908333333333
2021-04-03,0.30156868489583305,15.70699405670166,12.046344757080078,12.04325008392334,21.002681732177734,16.208166666666667,12.475249999999999,12.475249999999999,21.952749999999995
2021-04-04,0.29426122204815885,15.707270622253418,12.046566009521484,12.043444633483887,21.001367568969727,16.208333333333332,12.464083333333333,12.464083333333333,21.954583333333336
2021-04-05,0.28724897896448764,15.708443641662598,12.047585487365723,12.044451713562012,20.99898338317871,16.15683333333333,12.391833333333333,12.391833333333333,21.900500000000005
2021-04-06,0.28167717004705356,15.708597183227539,12.047789573669434,12.04470443725586,20.992517471313477,16.096416666666666,12.32925,12.32925,21.850583333333326
2021-04-07,0.2772526880829423,15.70844554901123,12.047736167907715,12.044594764709473,20.992403030395508,16.020416666666666,12.302416666666666,12.302416666666666,21.84283333333333
2021-04-08,0.2735670503157157,15.70820140838623,12.047575950622559,12.044387817382812,20.992889404296875,15.944416666666667,12.28325,12.28325,21.842333333333336
2021-04-09,0.2704866400718689,15.707871437072754,12.047377586364746,12.044110298156738,20.994781494140625,15.868416666666667,12.266583333333333,12.266583333333333,21.842
2021-04-10,0.26795753123318705,15.707088470458984,12.046868324279785,12.043449401855469,20.996049880981445,15.811333333333335,12.249500000000001,12.249500000000001,21.841666666666665
2021-04-11,0.26591378573311697,15.70766830444336,12.047818183898926,12.044208526611328,20.99454116821289,15.810916666666667,12.23525,12.23525,21.841166666666666
2021-04-12,0.2641079359619704,15.707629203796387,12.047906875610352,12.044332504272461,20.989261627197266,15.810583333333335,12.22075,12.22075,21.8405
2021-04-13,0.2623419414979438,15.706888198852539,12.047168731689453,12.043526649475098,20.990726470947266,15.810083333333333,12.207249999999998,12.207249999999998,21.83983333333333
2021-04-14,0.26073406309904845,15.706567764282227,12.046924591064453,12.043237686157227,20.991430282592773,15.810166666666667,12.194333333333333,12.194333333333333,21.839166666666667
2021-04-15,0.2592463603125675,15.70637035369873,12.046778678894043,12.043051719665527,20.991540908813477,15.810166666666667,12.18275,12.18275,21.838666666666665
2021-04-16,0.2578909643491106,15.706326484680176,12.046895980834961,12.043105125427246,20.991071701049805,15.810166666666667,12.172583333333332,12.172583333333332,21.8385
2021-04-17,0.25664861886059764,15.706609725952148,12.047345161437988,12.04349422454834,20.989608764648438,15.810166666666667,12.163333333333334,12.163333333333334,21.8385
2021-04-18,0.2555124451036803,15.707060813903809,12.048026084899902,12.044154167175293,20.9858341217041,15.810166666666667,12.154666666666666,12.154666666666666,21.8385
2021-04-19,0.254444314684691,15.707132339477539,12.04815673828125,12.044292449951172,20.98338508605957,15.810166666666667,12.146333333333335,12.146333333333335,21.8385
2021-04-20,0.2534377836580627,15.706686973571777,12.047667503356934,12.043794631958008,20.986982345581055,15.810166666666667,12.138666666666667,12.138666666666667,21.838500000000003
